time_s,omega_deg_per_s
0.0333,0.558573
0.0667,0.240969
0.1000,0.141453
0.1333,0.029609
0.1667,-0.004754
0.2000,-0.025921
0.2333,-0.056613
0.2667,-0.065749
0.3000,-0.078684
0.3333,-0.083868
0.3667,-0.079522
0.4000,-0.086077
0.4333,-0.080370
0.4667,-0.080630
0.5000,-0.083834
0.5333,-0.083666
0.5667,-0.080986
0.6000,-0.078832
0.6333,-0.079061
0.6667,-0.080046
0.7000,-0.080235
0.7333,-0.077240
0.7667,-0.078711
0.8000,-0.084925
0.8333,-0.087790
0.8667,-0.086651
0.9000,-0.081681
0.9333,-0.083945
0.9667,-0.079779
1.0000,-0.078513
1.0333,-0.079536
1.0667,-0.082526
1.1000,-0.082602
1.1333,-0.079256
1.1667,-0.075704
1.2000,-0.078615
1.2333,-0.078324
1.2667,-0.076699
1.3000,-0.079052
1.3333,-0.080543
1.3667,-0.090558
1.4000,-0.092022
1.4333,-0.092484
1.4667,-0.092538
1.5000,-0.094598
1.5333,-0.107671
1.5667,-0.110244
1.6000,-0.112789
1.6333,-0.110499
1.6667,-0.110180
1.7000,-0.111378
1.7333,-0.105772
1.7667,-0.108718
1.8000,-0.104880
1.8333,-0.108554
1.8667,-0.113135
1.9000,-0.111523
1.9333,-0.117279
1.9667,-0.119528
2.0000,-0.121514
2.0333,-0.126459
2.0667,-0.130238
2.1000,-0.134573
2.1333,-0.134309
2.1667,-0.135839
2.2000,-0.139227
2.2333,-0.144163
2.2667,-0.143425
2.3000,-0.142450
2.3333,-0.144718
2.3667,-0.145838
2.4000,-0.158005
2.4333,-0.161156
2.4667,-0.164448
2.5000,-0.167549
2.5333,-0.169156
2.5667,-0.169307
2.6000,-0.169503
2.6333,-0.174575
2.6667,-0.183227
2.7000,-0.185080
2.7333,-0.190212
2.7667,-0.193996
2.8000,-0.199952
2.8333,-0.204018
2.8667,-0.196127
2.9000,-0.194342
2.9333,-0.195161
2.9667,-0.196887
3.0000,-0.194920
3.0333,-0.195926
3.0667,-0.196532
3.1000,-0.200393
3.1333,-0.202579
3.1667,-0.205502
3.2000,-0.207333
3.2333,-0.209700
3.2667,-0.210884
3.3000,-0.214054
3.3333,-0.212241
3.3667,-0.209090
3.4000,-0.213471
