Frame,Time(s),X(px),Y(px),Displacement(px)
0,0.000,536.14,390.92,23.10
1,0.033,504.74,416.33,18.29
2,0.067,485.16,395.80,38.40
3,0.100,527.29,400.39,10.18
4,0.133,501.68,403.12,20.42
5,0.167,503.75,417.15,19.53
6,0.200,503.43,416.08,19.39
7,0.233,524.95,401.89,7.67
8,0.267,499.24,402.58,22.92
9,0.300,528.76,400.27,11.20
10,0.333,509.20,403.02,13.38
11,0.367,506.49,418.85,18.01
12,0.400,532.01,397.61,15.36
13,0.433,507.37,419.33,17.58
14,0.467,552.01,431.91,38.49
15,0.500,508.47,414.44,14.10
16,0.533,529.27,400.03,11.72
17,0.567,508.61,410.71,12.89
18,0.600,509.55,411.54,12.14
19,0.633,523.49,400.30,8.63
20,0.667,506.10,418.87,18.34
21,0.700,506.78,416.71,16.64
22,0.733,519.01,408.93,2.34
23,0.767,529.69,401.09,11.27
24,0.800,514.95,404.99,7.37
25,0.833,508.43,410.26,13.00
26,0.867,520.87,405.09,3.60
27,0.900,530.08,399.03,13.00
28,0.933,529.39,401.05,11.07
29,0.967,514.34,415.65,9.89
30,1.000,523.56,403.60,5.52
31,1.033,530.49,395.02,16.42
32,1.067,556.40,428.06,40.07
33,1.100,528.68,397.83,13.08
34,1.133,507.15,410.81,14.35
35,1.167,530.40,401.24,11.72
36,1.200,509.47,411.83,12.28
37,1.233,508.31,411.34,13.30
38,1.267,521.12,402.42,6.24
39,1.300,513.64,413.09,8.89
40,1.333,507.83,411.74,13.85
41,1.367,520.94,402.54,6.13
42,1.400,508.75,410.75,12.76
43,1.433,493.02,407.03,28.36
44,1.467,508.78,405.04,13.07
45,1.500,514.85,422.23,15.04
46,1.533,533.08,394.20,18.63
47,1.567,514.57,413.01,8.05
48,1.600,528.00,397.24,13.22
49,1.633,524.23,403.99,5.49
50,1.667,513.36,414.01,9.60
51,1.700,506.95,420.27,18.49
52,1.733,514.19,414.75,9.39
53,1.767,506.01,416.78,17.35
54,1.800,529.72,394.50,16.46
57,1.900,492.09,406.34,29.34
58,1.933,529.60,393.90,16.91
59,1.967,532.85,394.26,18.44
60,2.000,530.97,393.46,18.00
61,2.033,518.65,406.39,3.52
62,2.067,522.83,402.05,6.77
63,2.100,530.92,394.07,17.45
64,2.133,510.23,411.88,11.56
65,2.167,507.02,411.26,14.55
66,2.200,520.61,408.88,0.76
67,2.233,544.52,435.38,35.37
68,2.267,522.99,401.49,7.36
69,2.300,530.01,402.43,10.68
70,2.333,539.63,409.31,18.30
71,2.367,505.82,412.28,15.94
72,2.400,509.19,416.21,14.31
73,2.433,511.90,411.56,9.87
74,2.467,528.48,395.65,14.84
75,2.500,510.01,412.39,11.93
76,2.533,526.31,401.06,9.08
77,2.567,536.25,401.52,16.53
78,2.600,520.08,402.84,5.96
79,2.633,523.72,403.36,5.81
80,2.667,519.79,398.96,9.82
81,2.700,524.37,403.06,6.37
82,2.733,510.68,411.95,11.15
83,2.767,521.08,402.48,6.18
84,2.800,496.22,405.92,25.27
85,2.833,534.18,401.14,14.88
86,2.867,513.06,421.78,15.51
87,2.900,511.76,412.32,10.26
88,2.933,562.54,428.45,45.70
89,2.967,509.05,411.99,12.74
90,3.000,511.69,413.41,10.75
91,3.033,518.15,405.98,4.16
92,3.067,525.29,405.19,5.26
93,3.100,531.28,398.33,14.34
94,3.133,519.43,407.54,2.21
95,3.167,511.37,421.41,16.19
96,3.200,535.07,396.96,18.04
97,3.233,501.25,408.93,20.09
98,3.267,520.00,407.90,1.53
99,3.300,526.48,406.66,5.52
100,3.333,532.03,399.51,14.07
101,3.367,512.99,411.45,8.81
102,3.400,513.58,413.28,9.03
103,3.433,514.36,422.05,15.11
104,3.467,533.11,399.34,15.01
105,3.500,514.71,413.17,8.02
106,3.533,524.99,404.09,5.85
107,3.567,513.41,412.89,8.99
108,3.600,534.03,401.89,14.38
109,3.633,524.57,403.18,6.36
110,3.667,532.57,421.14,16.79
111,3.700,563.34,430.98,47.56
112,3.733,553.16,432.23,39.60
113,3.767,517.86,408.31,3.49
114,3.800,525.67,394.24,15.05
115,3.833,522.48,404.51,4.31
116,3.867,500.02,407.98,21.33
117,3.900,523.67,406.67,3.06
118,3.933,517.07,414.13,6.94
119,3.967,522.38,404.69,4.10
122,4.067,513.21,408.11,8.15
123,4.100,517.72,407.79,3.72
124,4.133,533.54,404.45,12.91
125,4.167,528.51,403.65,8.75
126,4.200,517.59,414.35,6.82
127,4.233,537.26,394.05,21.61
128,4.267,512.19,412.56,9.94
129,4.300,558.69,428.54,42.31
130,4.333,509.95,423.96,19.07
131,4.367,534.26,402.67,14.24
134,4.467,516.04,413.46,7.15
135,4.500,515.31,414.16,8.16
136,4.533,509.74,413.92,12.74
137,4.567,526.80,405.14,6.50
138,4.600,536.60,403.86,15.99
139,4.633,553.16,430.63,38.67
140,4.667,511.13,419.35,14.78
141,4.700,527.87,405.13,7.42
142,4.733,512.35,411.44,9.41
143,4.767,519.07,415.13,6.86
144,4.800,536.92,403.11,16.54
145,4.833,503.28,419.63,21.13
146,4.867,514.49,404.59,7.97
147,4.900,517.38,406.73,4.41
148,4.933,524.27,401.37,7.86
149,4.967,553.89,431.16,39.57
150,5.000,558.22,428.02,41.66
151,5.033,519.04,423.75,15.27
152,5.067,532.63,393.85,18.63
153,5.100,524.69,404.56,5.30
154,5.133,521.32,424.95,16.29
155,5.167,530.30,396.12,15.41
156,5.200,519.05,408.07,2.36
157,5.233,560.71,430.29,44.92
158,5.267,506.78,413.77,15.42
159,5.300,510.53,406.19,11.08
160,5.333,513.72,406.56,7.90
161,5.367,534.00,390.66,22.01
162,5.400,515.50,409.12,5.85
163,5.433,557.45,430.63,42.28
164,5.467,523.44,394.82,14.00
165,5.500,518.06,414.38,6.60
166,5.533,518.21,414.40,6.54
167,5.567,533.17,393.68,19.08
168,5.600,516.77,413.89,6.95
169,5.633,509.80,411.71,11.93
170,5.667,539.11,388.55,26.84
171,5.700,513.61,413.69,9.22
172,5.733,532.17,393.94,18.28
173,5.767,530.75,397.80,14.37
174,5.800,513.89,412.28,8.28
175,5.833,535.56,404.36,14.85
176,5.867,506.13,408.94,15.22
177,5.900,525.28,397.58,11.76
180,6.000,523.89,404.55,4.84
181,6.033,530.80,394.47,17.06
182,6.067,529.42,404.86,8.93
183,6.100,556.30,430.44,41.20
184,6.133,531.01,396.42,15.60
187,6.233,512.99,412.51,9.19
188,6.267,510.14,416.84,13.87
189,6.300,514.80,413.82,8.33
190,6.333,532.89,396.21,16.98
191,6.367,514.72,414.74,8.99
192,6.400,532.66,396.01,16.98
193,6.433,523.95,398.84,10.16
194,6.467,511.23,405.02,10.74
195,6.500,507.29,418.64,17.24
196,6.533,513.88,407.90,7.49
197,6.567,504.00,412.52,17.77
198,6.600,513.05,418.41,12.79
199,6.633,510.77,414.32,11.99
200,6.667,533.41,395.17,18.10
201,6.700,514.80,410.99,6.94
202,6.733,537.80,396.64,20.38
203,6.767,559.74,430.91,44.38
204,6.800,511.17,409.75,10.23
205,6.833,525.37,398.81,10.64
206,6.867,520.32,407.12,1.85
207,6.900,521.74,417.01,8.36
208,6.933,517.72,415.77,7.98
209,6.967,539.99,405.15,18.98
210,7.000,514.60,412.97,8.00
211,7.033,509.16,413.91,13.26
212,7.067,515.10,408.28,6.25
213,7.100,538.35,404.44,17.52
214,7.133,509.74,415.53,13.48
